recur,mean fidelity,std fidelity
1,0.10148671381947617,0.06683865047133004
2,0.21780348368738886,0.09762503569168574
3,0.5247166858681518,0.1134452009426161
4,0.8620417755834103,0.04745590622141258
5,0.9804511774558474,0.007390183777215993
6,0.9990940095096867,0.0003965251025917218
