depth,mean fidelity,std fidelity
1,0.015656722285518995,0.01442822726887395
2,0.015239758283289695,0.014894533562675734
3,0.5472350431099623,0.1484486835434515
4,0.5247166858681518,0.11344520094261608
5,0.8931481013607561,0.030346537181883015
6,0.8329202024778126,0.048077984857957334
7,0.8984949169276544,0.023757906735405298
8,0.981670439008565,0.006016819592975272
