depth,recur,mean l0,std l0,mean l1,std l1,mean l2,std l2,mean l3,std l3
4,1,2057.3,92.1289856668356,948.825,41.009930199891826,730.625,26.11751088829102,846.945,35.59117833115392
4,2,7819.42,340.7959853049915,3508.955,147.511535057432,2657.415,90.53476003723654,2761.635,105.03938201931695
4,3,36797.58,1106.5209910345127,16199.44,481.59195009883626,11805.97,307.0838633012161,11881.345,312.67004329644374
4,4,179542.78,3031.7426460041097,78911.18,1328.322633097848,56971.1,884.1974327038051,57038.365,895.7047235417484
4,5,876146.06,9464.617929763463,385021.56,4117.484004389088,277732.655,2924.7545496972907,277789.61,2935.6885389802505
4,6,4360398.1,27835.943096471514,1916503.985,12241.467063419115,1382268.055,8891.31407509458,1382407.015,8906.019031799506
5,1,2344.1,101.22208257094893,1107.505,46.35547405646932,781.925,28.32877291730088,926.06,38.697240211674014
5,2,10817.66,453.8670778983644,5077.57,208.70686404620236,3139.055,110.91258709001427,3313.35,122.21917811865697
5,3,56618.38,1282.8067101477136,26535.6,602.2363738599654,15065.79,303.70328595522307,15263.24,304.655678430585
5,4,286846.66,3782.5546029634525,134302.125,1766.467822909605,74865.28,838.3788771194083,75071.825,840.7952690013187
6,1,2502.9,134.18401544148244,1196.37,63.564794501359,798.475,34.99256170959765,970.45,45.1144932366529
6,2,11577.46,561.479143334817,5488.18,265.1190442046742,3365.73,138.36450809365817,3578.49,145.52271266025795
6,3,62431.58,1638.5097081189358,29580.065,775.8965142175856,16951.885,414.6883791173801,17196.22,417.54085021707755
6,4,313669.42,4525.189594215915,148506.805,2182.7389530072073,84286.97,1025.7657427990077,84549.73,1020.886505494122
