depth,recur,mean huff1,std huff1,mean huff2,std huff2,mean huff3,std huff3
6,1,0.9864338038133903,0.003624522838389388,0.4731767606314263,0.01383287593657686,0.625728635312775,0.017140195703677013
6,2,0.9758665742143665,0.001983683019215516,0.4346225247832733,0.008294259730259617,0.4711469448736839,0.009290956949657104
6,3,0.9741377319088949,0.0011191061190024172,0.4073209026118556,0.004443643576925948,0.41459391828252706,0.004552128347471537
6,4,0.9735156260640349,0.0006756740518309184,0.40462248764490594,0.0028184981552286143,0.4061285900067326,0.002827467214553484
5,1,0.9814834051212139,0.004160598843927829,0.5004035256274388,0.012663693698605073,0.6469852231245309,0.01646158929909993
5,2,0.9713438914012871,0.0021123883460284726,0.44517441009824693,0.008117670864262504,0.47978694318368975,0.009222127737353831
5,3,0.9690470719980897,0.001305625139814854,0.41567693707761966,0.0052672827755282205,0.42270064422682924,0.005498969428226642
5,4,0.9682758063894145,0.0007378422240452513,0.4092677005358628,0.0028896336434171507,0.41068521860564006,0.0029383900708165986
4,1,0.9714873735210667,0.0052141639955140505,0.5404460607984892,0.016471952947375135,0.685194281140387,0.023403964135222506
4,2,0.9514768315004659,0.002587044461436646,0.5278727375563226,0.012262322548284427,0.5665006963464486,0.01415985261835677
4,3,0.9408096766172682,0.0015613463710887892,0.5125922317673224,0.00628414690808653,0.5200585683671407,0.006508780051426484
4,4,0.9396304258524857,0.001027287815427983,0.5118881838609478,0.003694198547072716,0.513397550779621,0.0036474677330921544
4,5,0.9394740017765101,0.0006328525224557108,0.5141756581825466,0.0019323456388454033,0.5144974537752592,0.001930250411950436
4,6,0.9395299397713961,0.00033944577840822076,0.5143496339810235,0.0010327098368312284,0.5144606646827764,0.0010314157739166037
