recur,mean fidelity,std fidelity,mean circ_depth, std circ_depth,mean huff1 cr,std huff1 cr,mean huff2 cr,std huff2 cr,mean huff3 cr,std huff3 cr
1,0.9329854650257476,0.04945096427573194,14.97,4.873304833477996,0.7641527481483945,0.041873930948197864,0.393459496138966,0.10828382429199115,0.5891835484991446,0.15863786519114215
2,0.9666646666884248,0.03057988578730746,54.89,13.678373441312385,0.7617073500812299,0.02402149869096165,0.5460188330944201,0.07250500126159169,0.606405718534309,0.0833055762886529
3,0.9860883589421202,0.017562424432083463,244.36,38.782991117241075,0.7549683866416611,0.013041387161384702,0.5931978910160454,0.03851752932850366,0.6065736660354603,0.04161577730298101
4,0.9954109309747144,0.007982649315976083,1173.58,119.08977118123957,0.7540417254227273,0.00821872269191938,0.6148614822714756,0.024525527948648727,0.6174743830100461,0.02428835277870873
5,0.9993938181747416,0.001183731437486238,5779.16,354.9625394319801,0.7528787054082022,0.004637337739180693,0.6253535011744465,0.012002176703411905,0.6258602603949981,0.0120045314932762
6,0.9999785558597533,4.0753138452635425e-05,28751.42,1152.8917180724304,0.7524907203276558,0.003112401651696407,0.6294034832717905,0.006959632072747612,0.6295576200497132,0.006898522147367298
