depth,recur,mean l0,std l0,mean l1,std l1,mean l2,std l2,mean l3,std l3
4,1,29.42,9.837865622176388,22.75,7.8852710796776035,11.32,3.1745235863039354,17.565,7.394983096667631
4,2,113.5,27.833612773048348,86.685,21.107007722555085,60.47,13.897809179867163,68.085,17.678455107842428
4,3,503.76,84.91232183847053,379.705,62.70755915358212,296.58,46.35249292109325,303.825,48.42834268277204
4,4,2363.0,253.9715732124365,1777.235,189.72954375900449,1444.7,153.67322473352343,1451.11,154.3192726136305
4,5,11679.2,711.2221031435961,8793.515,529.8714275888067,7294.91,434.3746676545491,7300.925,435.16664552214934
4,6,57727.88,2353.041246047336,43433.935,1761.3034834391829,36320.31,1446.050249438103,36328.975,1449.2694036565458
5,1,36.07,9.014161081320879,28.215,7.15463311428336,12.065,2.792986752564358,19.71,6.134810510521087
5,2,160.51,27.997855275002767,126.795,21.710665005936598,73.635,12.236084953938494,82.885,14.24892188904129
5,3,776.25,93.18152982217023,613.135,73.7187681326811,384.735,39.80772255480085,394.86,40.651327161606915
5,4,3852.85,292.56995317359576,3047.915,230.60888485702367,1950.8,126.07977633228892,1961.415,126.46269321424401
6,1,37.65,12.065550132505354,29.845,9.866152999016384,11.545,3.5295856697351886,20.205,6.758918182667993
6,2,168.93,37.73691958811688,135.045,30.425202957416737,74.76,14.440304705926396,85.605,16.696975025434995
6,3,854.53,112.52119400361872,682.335,90.4881361008171,416.695,48.96725410925142,430.075,50.33815029378811
6,4,4158.29,341.9499611054226,3317.455,277.8846486853853,2143.77,166.3280706916304,2158.455,166.81105471460816
