depth,recur,mean huff1,std huff1,mean huff2,std huff2,mean huff3,std huff3
4,1,0.7688669319156936,0.037067202185784236,0.40014956843981614,0.11356235323137259,0.6024223529953019,0.1628537447357975
4,2,0.7645860408848592,0.023105460746834713,0.539826750550014,0.07150672439687104,0.6036371088393051,0.080868021459613
4,3,0.7543113309185998,0.013224113353573985,0.5912917965747542,0.04034374835410601,0.6054698522193541,0.041965855952793514
4,4,0.7522450601798955,0.008801600880227117,0.6118635150089341,0.022758906172323835,0.6145669837079373,0.02259192399494379
4,5,0.7529717167641068,0.005256473746551286,0.6247788908633687,0.012509618615980132,0.6252904972911886,0.012439179457075969
4,6,0.7524030969636526,0.0028833820215689687,0.6292213009457938,0.006577923511429243,0.6293695826415621,0.00658276565095445
5,1,0.7803480860710796,0.03231564952871864,0.3364420095869155,0.0765916281828567,0.5498143518330505,0.12504418085195676
5,2,0.790573558549397,0.01907269714898105,0.4628698959161274,0.05672311043457938,0.5200942607868231,0.06155245518386705
5,3,0.7898864249474009,0.010870786529875298,0.49793182937980796,0.03623993929627713,0.5110609872769001,0.03721105849515198
5,4,0.791116686766648,0.0061211703103667475,0.5073156901787574,0.02428544696029363,0.5100708335365566,0.0241839595621821
6,1,0.7882695020725246,0.034283280942126966,0.3062731915955016,0.08712959760347293,0.5533172893522488,0.154905602650785
6,2,0.7993282053901839,0.017184465232294246,0.4477150118277139,0.04960668412025494,0.5132747504599078,0.06174460602133345
6,3,0.7984392759912854,0.009456480749620928,0.4893632816401193,0.029507498189519397,0.5051655550038597,0.03119330866177186
6,4,0.7977158306689097,0.006328414854627055,0.5161137687699907,0.019632184117551934,0.5196732246902401,0.020068412681256514
