size,number,sumbits binary,sumbits huff1,cr huff1,sumbits huff2,cr huff2,sumbits huff3,cr huff3,sumbits bz2+bin,sumbits bz2+huff1,cr bz2+huff1,sumbits bz2+huff2,cr bz2+huff2,sumbits bz2+huff3,cr bz2+huff3
3,01,212016,203069,0.9578003546902121,95883,0.4522441702513018,117585,0.5546043694815486,52360,49728,0.9497326203208556,52904,1.0103896103896104,53128,1.0146676852559207
3,02,214653,205471,0.9572239847567935,95847,0.4465206635826194,117426,0.5470503556903468,52960,50312,0.95,53344,1.0072507552870091,53600,1.012084592145015
3,03,215901,206455,0.956248465731979,98033,0.45406459442059094,119830,0.5550229040161926,52472,50264,0.9579204146973624,52616,1.0027443207806068,52968,1.0094526604665346
3,04,216255,206923,0.9568472405262306,96762,0.4474439897343414,118456,0.5477607454162909,52624,49528,0.9411675281240499,53544,1.0174825174825175,53880,1.023867436910915
3,05,217797,208353,0.956638521191752,97304,0.44676464781424907,118948,0.54614159056369,52912,50592,0.9561536135470214,53416,1.0095252494708196,53480,1.0107348049591776
3,06,217953,208750,0.9577753001793965,96433,0.44244860130395086,118261,0.5425986336503742,53544,54736,1.0222620648438667,54800,1.023457343493202,54864,1.024652622142537
3,07,214008,205139,0.9585576240140555,95474,0.4461235094015177,116930,0.5463814436843483,51528,48896,0.9489209750038814,52232,1.0136624747709984,52504,1.0189411582052477
3,08,213888,204473,0.9559816352483543,96178,0.44966524536205865,117674,0.5501664422501497,53248,50584,0.9499699519230769,53792,1.0102163461538463,53936,1.0129206730769231
3,09,216252,207190,0.9580951852468417,96458,0.44604442964689345,118212,0.5466400310748571,52528,49280,0.9381663113006397,53352,1.015686871763631,54008,1.0281754492841912
3,10,213525,204407,0.957297740311439,95200,0.445849432150802,116763,0.5468352651914296,53256,50168,0.9420159230884783,54624,1.0256872465074358,54640,1.0259876821391016
3,11,211755,203174,0.9594767537956601,93549,0.4417794148898491,115051,0.5433212911147316,51792,49248,0.9508804448563485,51840,1.0009267840593141,52392,1.0115848007414272
3,12,220659,210992,0.9561903208117503,97938,0.443843215096597,120017,0.5439025827181307,53160,50192,0.9441685477802859,54280,1.021068472535741,54296,1.0213694507148232
3,13,218901,209928,0.9590088670220784,96306,0.4399523072073677,118172,0.5398422117760997,51208,48768,0.9523511951257616,51832,1.012185596000625,52272,1.020778003436963
3,14,212112,203072,0.9573810062608433,95086,0.4482820396771517,116425,0.5488845515576677,52264,49256,0.9424460431654677,52640,1.0071942446043165,52616,1.0067350375019133
3,15,210948,202278,0.9588998236532226,94113,0.44614312531998407,115589,0.547950205737907,51000,48008,0.9413333333333334,51432,1.008470588235294,51760,1.0149019607843137
3,16,213201,204032,0.9569936351142818,96450,0.45238999817074027,118163,0.5542328600710128,53064,49912,0.940600030152269,54424,1.0256294286145033,54520,1.0274385647519977
3,17,213711,204396,0.956413099934023,95691,0.4477588893412131,117194,0.5483760779744609,52960,50240,0.9486404833836858,54480,1.0287009063444108,54696,1.0327794561933534
3,18,217182,208000,0.9577220948329052,96777,0.4456032267867503,118729,0.5466797432568077,52544,49904,0.9497563946406821,53176,1.0120280146163216,53264,1.013702801461632
3,19,211359,202624,0.958672211734537,94785,0.44845499836770614,116313,0.5503101358352377,52112,49024,0.9407430150445195,52248,1.0026097635861222,52504,1.0075222597482345
3,20,214299,205383,0.9583945795360688,95885,0.44743559232660907,117667,0.5490786237919916,52888,50416,0.9532597186507337,53680,1.0149750415973378,53992,1.0208743004084102
4,01,954897,913874,0.957039345604814,429732,0.45002968906594115,526204,0.5510583864018842,177144,167320,0.9445422932755273,175072,0.9883033012690241,176992,0.9991419410197353
4,02,957948,917246,0.9575112636594053,429242,0.44808486473169734,525850,0.5489337625841904,175744,165792,0.9433721777130372,174432,0.9925345957756737,174448,0.9926256372906045
4,03,949119,909436,0.9581896474520055,427813,0.45074748266550346,524026,0.5521183328960857,178680,169328,0.9476606223416163,177816,0.9951645399597046,178136,0.9969554510857399
4,04,945021,904909,0.9575543823893861,423565,0.44820697106201873,519145,0.5493475806357743,174976,166120,0.9493873445501098,176912,1.0110643745427945,176960,1.0113386978785661
4,05,952035,912573,0.9585498432305535,426995,0.44850767041127687,523150,0.549507108457147,182168,172296,0.9458082648983356,181464,0.9961354354222476,182712,1.002986254446445
4,06,958656,918020,0.9576114894185193,428457,0.4469350841177649,524722,0.5473517090593497,175896,166512,0.9466502933551644,175208,0.9960885978077955,176016,1.0006822213125939
4,07,958383,917783,0.9576369781183515,429620,0.4482758980491098,526367,0.5492240576053624,177808,167888,0.9442094843876541,178016,1.0011698011338073,178552,1.004184288670926
4,08,946809,906302,0.9572173479550786,425297,0.449189857722096,521455,0.5507499400618288,178744,168824,0.9445016336212684,178520,0.9987468110817705,178008,0.9958823792686747
4,09,948183,908593,0.9582464566439179,426418,0.44972120360732054,522683,0.5512469639299586,177368,168376,0.9493031437463353,176536,0.9953091876775969,178016,1.0036534211357178
4,10,961089,920415,0.9576792575921689,428125,0.4454582249926906,524322,0.5455498918414423,178648,169128,0.9467108503873539,179528,1.0049258877793201,177520,0.9936859074828713
4,11,955230,915582,0.9584937658993122,427043,0.4470577766611183,523159,0.5476785695591637,171064,162352,0.9490716924659777,170032,0.9939671701819203,170840,0.9986905485666183
4,12,949509,909955,0.9583426802694867,424170,0.4467256234538061,520235,0.54789896672912,174608,165272,0.9465316594886832,173024,0.9909282507101622,174816,1.0011912398057363
4,13,955905,915598,0.9578336759406008,428776,0.44855503423457355,525769,0.550022230242545,177472,168232,0.9479354489722323,179088,1.0091056617381897,179536,1.0116300036062027
4,14,953031,913115,0.9581167873867692,429687,0.45086361304091893,526287,0.5522244292158387,178520,169096,0.9472103965942191,179240,1.0040331615505265,179536,1.0056912390768542
4,15,950019,909915,0.957786107435746,428328,0.4508625616961345,524606,0.5522057979893034,181136,171016,0.9441303771751612,182336,1.0066248564614433,180504,0.9965109089303065
4,16,944454,904847,0.9580636007682746,425366,0.4503829725958067,520985,0.5516255953175062,176328,166304,0.9431513996642621,177904,1.0089378884805589,177920,1.009028628465133
4,17,962700,922733,0.9584844707593227,428025,0.44460891243378,524447,0.5447668017035421,176096,166040,0.9428947846629111,176576,1.0027257859349445,176648,1.0031346538251862
4,18,949269,909240,0.9578317631777715,426270,0.4490507959282353,522197,0.5501043434474316,179376,170360,0.9497368655784497,181008,1.009098207118009,181104,1.0096333957720096
4,19,946893,907120,0.9579963100371425,426113,0.45001177535370945,521925,0.5511974425832697,176256,166656,0.9455337690631809,175096,0.993418663761801,176216,0.9997730573710966
4,20,953208,913799,0.9586564527364436,427929,0.44893559432988395,524109,0.5498369715738852,177784,168688,0.9488367907123251,179104,1.0074247401340952,179440,1.0093146739864105
5,01,4044324,3872134,0.9574242815362963,1814950,0.44876473793889904,2625559,0.649196009024005,715136,657448,0.9193328262036872,611056,0.854461249328799,617440,0.8633882226597458
5,02,4048950,3879348,0.9581121031378506,1817087,0.44877980711048543,2629713,0.6494802356166414,720592,663168,0.9203099673601706,630600,0.8751137953238448,631232,0.8759908519661611
