size;number;sumbits_binary;sumbits_huff1;cr huff1;sumbits_huff2;cr huff2;sumbits_huff3;cr huff3;sumbits_bz2+bin;sumbits_bz2+huff1;cr bz2+huff1;sumbits_bz2+huff2;cr bz2+huff2;sumbits_bz2+huff3;cr bz2+huff3;sumbits_qasm;sumbits_bz2_qasm;fidelity;circ_depth
2;11;46692;44832;0.9601644821382678;20528;0.439647048744967;20631;0.44185299408892315;14392;14800;1.028349082823791;14352;0.9972206781545303;14808;1.0289049471928848;1069576;15088;0.9981997900218234;8000
2;12;44229;42386;0.9583305071333288;20126;0.4550408103280653;20220;0.4571661127314658;13768;14288;1.0377687391051713;14112;1.0249854735618826;14152;1.0278907611853574;1012824;14208;0.9962324397346816;7696
2;13;45390;43381;0.9557391495924212;20196;0.4449438202247191;20282;0.44683851068517294;14552;15256;1.0483782297965916;14464;0.9939527212754261;14536;0.9989004947773502;1038696;14976;0.9958027512283302;8052
2;14;45615;43509;0.953830976652417;20563;0.4507946947276115;20692;0.4536227118272498;14624;13936;0.9529540481400438;14912;1.0196936542669583;14896;1.0185995623632385;1043400;15136;0.9922557464143273;8082
2;15;45678;43894;0.960943999299444;20169;0.4415473532116117;20273;0.4438241604273392;13944;13168;0.9443488238668961;14048;1.0074584050487665;14136;1.0137693631669535;1046584;14456;0.9950212834965863;7914
2;16;45114;43274;0.9592144345436007;20174;0.4471782595203263;20298;0.44992685197499666;14216;14808;1.0416432189082723;14616;1.028137310073157;14656;1.0309510410804728;1033272;14936;0.9988842074661547;7832
2;17;45984;44092;0.9588552540013918;20913;0.4547886221294363;21085;0.45852905358385526;14208;14664;1.0320945945945945;14400;1.0135135135135136;14336;1.009009009009009;1053144;14480;0.9960839721912145;7928
2;18;45084;43140;0.9568804897524621;20374;0.4519119865140626;20467;0.45397480259071954;13792;14096;1.0220417633410672;14152;1.0261020881670533;14200;1.0295823665893271;1032024;14384;0.9934892270464032;8106
2;19;45768;43875;0.9586392239119035;20488;0.44764901241041777;20568;0.44939695857367595;13928;13144;0.9437105112004595;14112;1.013210798391729;14304;1.0269959793222285;1048072;14312;0.996851934049954 ;7799
2;20;47556;45523;0.9572503995289764;20965;0.44084868365716207;21060;0.4428463285389856;14216;14824;1.0427687113111987;14192;0.9983117613956106;14376;1.0112549240292628;1088680;14552;0.9913840597255427;8257
3;1;212016;203069;0.9578003546902121;95883;0.4522441702513018;117585;0.5546043694815486;52360;49728;0.9497326203208556;52904;1.0103896103896104;53128;1.0146676852559207;4852968;56912;0.9855270464117472;41537
3;2;214653;205471;0.9572239847567935;95847;0.4465206635826194;117426;0.5470503556903468;52960;50312;0.95;53344;1.0072507552870091;53600;1.012084592145015;4912520;57072;0.9731016022143767;42069
3;3;215901;206455;0.956248465731979;98033;0.45406459442059094;119830;0.5550229040161926;52472;50264;0.9579204146973624;52616;1.0027443207806068;52968;1.0094526604665346;4939992;56528;0.9664703407983977;42161
3;4;216255;206923;0.9568472405262306;96762;0.4474439897343414;118456;0.5477607454162909;52624;49528;0.9411675281240499;53544;1.0174825174825175;53880;1.023867436910915;4948872;55880;0.9861051473720758;41978
3;5;217797;208353;0.956638521191752;97304;0.44676464781424907;118948;0.54614159056369;52912;50592;0.9561536135470214;53416;1.0095252494708196;53480;1.0107348049591776;4983768;56904;0.9786045444026417;42281
3;6;217953;208750;0.9577753001793965;96433;0.44244860130395086;118261;0.5425986336503742;53544;54736;1.0222620648438667;54800;1.023457343493202;54864;1.024652622142537;4988952;57168;0.9792558109824692;42625
3;7;214008;205139;0.9585576240140555;95474;0.4461235094015177;116930;0.5463814436843483;51528;48896;0.9489209750038814;52232;1.0136624747709984;52504;1.0189411582052477;4899304;55304;0.9783296892351953;41820
3;8;213888;204473;0.9559816352483543;96178;0.44966524536205865;117674;0.5501664422501497;53248;50584;0.9499699519230769;53792;1.0102163461538463;53936;1.0129206730769231;4893608;56360;0.9875222360021774;41543
3;9;216252;207190;0.9580951852468417;96458;0.44604442964689345;118212;0.5466400310748571;52528;49280;0.9381663113006397;53352;1.015686871763631;54008;1.0281754492841912;4950264;56280;0.9793170197412254;42457
3;10;213525;204407;0.957297740311439;95200;0.445849432150802;116763;0.5468352651914296;53256;50168;0.9420159230884783;54624;1.0256872465074358;54640;1.0259876821391016;4886888;56520;0.988297386252686 ;41489
3;11;211755;203174;0.9594767537956601;93549;0.4417794148898491;115051;0.5433212911147316;51792;49248;0.9508804448563485;51840;1.0009267840593141;52392;1.0115848007414272;4848792;55904;0.9889887573298138;41729
3;12;220659;210992;0.9561903208117503;97938;0.443843215096597;120017;0.5439025827181307;53160;50192;0.9441685477802859;54280;1.021068472535741;54296;1.0213694507148232;5048984;57704;0.9898798433883179;43164
3;13;218901;209928;0.9590088670220784;96306;0.4399523072073677;118172;0.5398422117760997;51208;48768;0.9523511951257616;51832;1.012185596000625;52272;1.020778003436963;5011896;55896;0.9929938603325692;42835
3;14;212112;203072;0.9573810062608433;95086;0.4482820396771517;116425;0.5488845515576677;52264;49256;0.9424460431654677;52640;1.0071942446043165;52616;1.0067350375019133;4854776;56096;0.98445340336133 c;41163
3;15;210948;202278;0.9588998236532226;94113;0.44614312531998407;115589;0.547950205737907;51000;48008;0.9413333333333334;51432;1.008470588235294;51760;1.0149019607843137;4829720;55120;0.9860339677425156;40352
3;16;213201;204032;0.9569936351142818;96450;0.45238999817074027;118163;0.5542328600710128;53064;49912;0.940600030152269;54424;1.0256294286145033;54520;1.0274385647519977;4879128;57000;0.9900261330534339;41295
3;17;213711;204396;0.956413099934023;95691;0.4477588893412131;117194;0.5483760779744609;52960;50240;0.9486404833836858;54480;1.0287009063444108;54696;1.0327794561933534;4890264;56632;0.9904939449194745;41347
3;18;217182;208000;0.9577220948329052;96777;0.4456032267867503;118729;0.5466797432568077;52544;49904;0.9497563946406821;53176;1.0120280146163216;53264;1.013702801461632;4971000;56024;0.9825473505344814;42377
3;19;211359;202624;0.958672211734537;94785;0.44845499836770614;116313;0.5503101358352377;52112;49024;0.9407430150445195;52248;1.0026097635861222;52504;1.0075222597482345;4838968;55840;0.9806689011967359;41581
3;20;214299;205383;0.9583945795360688;95885;0.44743559232660907;117667;0.5490786237919916;52888;50416;0.9532597186507337;53680;1.0149750415973378;53992;1.0208743004084102;4905800;57112;0.9864160353751013;42050
4;1;954897;913874;0.957039345604814;429732;0.45002968906594115;526204;0.5510583864018842;177144;167320;0.9445422932755273;175072;0.9883033012690241;176992;0.9991419410197353;21852504;243464;0.9388517010606504;194811
4;2;957948;917246;0.9575112636594053;429242;0.44808486473169734;525850;0.5489337625841904;175744;165792;0.9433721777130372;174432;0.9925345957756737;174448;0.9926256372906045;21924312;243016;0.9296647266428792;193147
4;3;949119;909436;0.9581896474520055;427813;0.45074748266550346;524026;0.5521183328960857;178680;169328;0.9476606223416163;177816;0.9951645399597046;178136;0.9969554510857399;21725688;244768;0.9446606871359303;192792
4;4;945021;904909;0.9575543823893861;423565;0.44820697106201873;519145;0.5493475806357743;174976;166120;0.9493873445501098;176912;1.0110643745427945;176960;1.0113386978785661;21629064;238056;0.9166669667218383;191081
4;5;952035;912573;0.9585498432305535;426995;0.44850767041127687;523150;0.549507108457147;182168;172296;0.9458082648983356;181464;0.9961354354222476;182712;1.002986254446445;21794152;243352;0.9382257739989802;192178
4;6;958656;918020;0.9576114894185193;428457;0.4469350841177649;524722;0.5473517090593497;175896;166512;0.9466502933551644;175208;0.9960885978077955;176016;1.0006822213125939;21941176;242632;0.9320641258138421;193946
4;7;958383;917783;0.9576369781183515;429620;0.4482758980491098;526367;0.5492240576053624;177808;167888;0.9442094843876541;178016;1.0011698011338073;178552;1.004184288670926;21935208;245384;0.930277359367068 ;195134
4;8;946809;906302;0.9572173479550786;425297;0.449189857722096;521455;0.5507499400618288;178744;168824;0.9445016336212684;178520;0.9987468110817705;178008;0.9958823792686747;21668120;241760;0.9325499648094702;194374
4;9;948183;908593;0.9582464566439179;426418;0.44972120360732054;522683;0.5512469639299586;177368;168376;0.9493031437463353;176536;0.9953091876775969;178016;1.0036534211357178;21704456;241152;0.939582689856841 ;191909
4;10;961089;920415;0.9576792575921689;428125;0.4454582249926906;524322;0.5455498918414423;178648;169128;0.9467108503873539;179528;1.0049258877793201;177520;0.9936859074828713;21997000;246912;0.9098456202142524;194261
4;11;955230;915582;0.9584937658993122;427043;0.4470577766611183;523159;0.5476785695591637;171064;162352;0.9490716924659777;170032;0.9939671701819203;170840;0.9986905485666183;21867320;240440;0.9211249475582763;192703
4;12;949509;909955;0.9583426802694867;424170;0.4467256234538061;520235;0.54789896672912;174608;165272;0.9465316594886832;173024;0.9909282507101622;174816;1.0011912398057363;21735592;241128;0.9253883620566716;192943
4;13;955905;915598;0.9578336759406008;428776;0.44855503423457355;525769;0.550022230242545;177472;168232;0.9479354489722323;179088;1.0091056617381897;179536;1.0116300036062027;21879256;246096;0.9207854840201636;194244
4;14;953031;913115;0.9581167873867692;429687;0.45086361304091893;526287;0.5522244292158387;178520;169096;0.9472103965942191;179240;1.0040331615505265;179536;1.0056912390768542;21814792;245408;0.9234534510956063;193072
4;15;950019;909915;0.957786107435746;428328;0.4508625616961345;524606;0.5522057979893034;181136;171016;0.9441303771751612;182336;1.0066248564614433;180504;0.9965109089303065;21744296;243512;0.9354448232141003;193697
4;16;944454;904847;0.9580636007682746;425366;0.4503829725958067;520985;0.5516255953175062;176328;166304;0.9431513996642621;177904;1.0089378884805589;177920;1.009028628465133;21618216;239424;0.9353714982518434;191323
4;17;962700;922733;0.9584844707593227;428025;0.44460891243378;524447;0.5447668017035421;176096;166040;0.9428947846629111;176576;1.0027257859349445;176648;1.0031346538251862;22037960;242552;0.912748252898298 ;195829
4;18;949269;909240;0.9578317631777715;426270;0.4490507959282353;522197;0.5501043434474316;179376;170360;0.9497368655784497;181008;1.009098207118009;181104;1.0096333957720096;21727768;244416;0.943662811555624 ;191480
4;19;946893;907120;0.9579963100371425;426113;0.45001177535370945;521925;0.5511974425832697;176256;166656;0.9455337690631809;175096;0.993418663761801;176216;0.9997730573710966;21674040;241664;0.9386363271385029;190833
4;20;953208;913799;0.9586564527364436;427929;0.44893559432988395;524109;0.5498369715738852;177784;168688;0.9488367907123251;179104;1.0074247401340952;179440;1.0093146739864105;21821800;242784;0.9384879868776403;192670
5;1;4044324;3872134;0.9574242815362963;1814950;0.44876473793889904;2625559;0.649196009024005;715136;657448;0.9193328262036872;611056;0.854461249328799;617440;0.8633882226597458;92558904;1021664;0.6741946664407272;844710
5;2;4048950;3879348;0.9581121031378506;1817087;0.44877980711048543;2629713;0.6494802356166414;720592;663168;0.9203099673601706;630600;0.8751137953238448;631232;0.8759908519661611;92679704;1028816;0.7371238690552939;842162
5;3;4034700;3864758;0.9578798919374427;1810256;0.4486717723746499;2619899;0.6493417106600243;714096;654584;0.9166610651789115;620216;0.8685330823866819;620752;0.8692836817458717;92348920;1018456;0.7427591318063722;840746
5;4;4044882;3874237;0.9578121191174427;1816496;0.4490850412941589;2626127;0.6492468754341907;719424;659232;0.9163330664531625;623584;0.8667823147406815;628224;0.8732319188684281;92580520;1021072;0.7048613740468461;842314
5;5;4022070;3853154;0.9580027199924417;1808452;0.44963215458706585;2616835;0.6506189598888135;716440;660976;0.9225838869968176;625960;0.8737088939757691;625808;0.8734967338507063;92063192;1022688;0.7425855365545251;839299
5;6;4032954;3862299;0.9576848632540812;1808354;0.44839440271324693;2617039;0.6489136746910578;712640;654608;0.9185675797036372;613392;0.8607319263583296;616840;0.8655702739110912;92305256;1021704;0.7165988508752039;843014
5;7;4019421;3849648;0.9577618268899923;1801091;0.44809712642691574;2606555;0.6484901681112777;709592;652096;0.918973156405371;619584;0.8731552779625474;620024;0.8737753525969854;91996856;1019504;0.7493093107798473;837164
5;8;4021413;3853474;0.9582388081005359;1802811;0.4483028726470024;2610247;0.6490870248840395;716144;656776;0.9171004714135704;628480;0.8775888648093121;628504;0.8776223776223776;92051512;1022888;0.7125038870661056;837949
5;9;4052538;3882204;0.9579685619234168;1812582;0.44727082139636937;2622017;0.6470061477523468;716912;655320;0.9140870846073158;621144;0.8664159617916843;624440;0.87101345771866;92758648;1024392;0.7185234565825281;845094
5;10;4050432;3881711;0.9583449370338769;1813181;0.44765126287763873;2623070;0.6476025273353558;715968;654560;0.9142308036113346;623816;0.8712903369983016;625104;0.8730893000804505;92718184;1025808;0.7153168287571658;844858
5;11;4032255;3861432;0.9576358638032565;1807201;0.44818618862150333;2614608;0.6484232768016903;714600;656800;0.9191155891407781;624088;0.873338930870417;624040;0.8732717604254128;92286808;1019904;0.7076485793271903;839222
5;12;4040343;3870414;0.9579419371078148;1812533;0.4486086948558575;2623586;0.6493473450150148;713648;657272;0.9210030715422729;618912;0.8672510817658005;620376;0.8693025132838599;92479384;1025160;0.7621887702020747;845158
5;13;4036398;3866922;0.9580130601590824;1808848;0.4481342028214264;2616935;0.6483342326500013;719000;660232;0.9182642559109875;628512;0.8741474269819194;628848;0.874614742698192;92390232;1023840;0.7339479432150646;842899
5;14;4022058;3850857;0.9574344775734214;1810143;0.4500539276161607;2619828;0.6513650474458598;714384;657632;0.9205581312011467;621888;0.8705234159779615;621712;0.8702770498779367;92049192;1024952;0.7254217607077695;840778
5;15;4011636;3843143;0.9579989311094027;1798675;0.44836445779228223;2603226;0.6489187952246914;711408;654024;0.9193374266243843;622920;0.8756156804534106;622592;0.8751546229449205;91823016;1019296;0.669039292563496 ;837626
5;16;4028058;3858858;0.9579946465517627;1809481;0.44921920190821485;2618518;0.6500695868828106;713328;656744;0.9206760424377005;617992;0.8663504026198326;620112;0.8693223874571024;92198360;1016744;0.7349888870654487;840584
5;17;4022088;3853440;0.9580695400001193;1802815;0.44822863149687425;2609907;0.6488935597629888;714440;656576;0.9190078942948323;620752;0.8688651251329713;620848;0.8689994961088405;92063320;1023816;0.6993195945597248;839558
5;18;4015671;3846423;0.9578531209354552;1804169;0.4492820751500808;2610983;0.6501984350809615;712720;653792;0.9173195644853519;618528;0.8678415085868223;620120;0.8700752048490291;91911880;1020624;0.7468783274930061;839136
5;19;4018257;3848891;0.9578508791249539;1805120;0.44922960378094284;2613031;0.6502896653947221;718448;661528;0.9207736676836737;626208;0.8716121417277242;625024;0.8699641449346369;91971496;1029080;0.6928147847979872;838619
5;20;4050906;3880624;0.9579644652332096;1814999;0.44804767131105977;2626306;0.6483255844495034;726232;666048;0.9171284107557915;633032;0.8716663545533658;633232;0.8719417486423071;92721144;1029800;0.6768688792206661;841732
6;1;16590870;15892548;0.9579092597314065;7454455;0.44931067508816597;10784679;0.6500369781693184;2858928;2653992;0.9283171874212992;2434944;0.8516982589278219;2447184;0.8559795839559443;379742040;4191736;0.24981550302723812;3510864
6;2;16566336;15868694;0.9578879723313592;7445004;0.44940558974537276;10772871;0.6502868829896967;2877552;2661872;0.925047401402303;2449240;0.8511540364865692;2455296;0.8532586031460074;379177912;4193600;0.2809528417184058 ;3509684
6;3;16630404;15931737;0.957988573218065;7460158;0.44858549437524187;10795815;0.6491613192319321;2879688;2664376;0.9252307888910187;2460512;0.8544370084536936;2460424;0.8544064495875943;380655080;4195512;0.2614224046816662 ;3520704
6;4;16550631;15855487;0.9579989427593425;7427551;0.448777511866466;10749548;0.6494947534024533;2870872;2655200;0.9248757868689373;2431968;0.8471182274932494;2436264;0.8486146369465445;378831976;4192456;0.2744287972770138 ;3506572
6;5;16612461;15916258;0.9580915193721147;7446322;0.44823713957853684;10775885;0.6486627718794945;2878584;2659288;0.923818099454454;2433080;0.8452350183284559;2446088;0.8497539067819456;380252120;4190128;0.28464718125400457;3517677
6;6;16595961;15898922;0.9579994795119126;7442735;0.4484666479994741;10770897;0.6490071289032313;2883848;2667096;0.9248393119193522;2442656;0.8470127413095281;2457136;0.8520338103811297;379868248;4203088;0.24611315942951384;3511399
6;7;16570923;15868958;0.957638750720162;7441135;0.44904770844689823;10769962;0.6499313285083758;2874616;2661928;0.9260116829517403;2432648;0.8462514645434381;2433120;0.8464156603873352;379262776;4195080;0.28070071211356945;3514031
6;8;16616952;15918013;0.9579381946821535;7455613;0.4486751240540383;10789185;0.6492878477352525;2886800;2675232;0.9267119301648885;2456648;0.8509934875987253;2470104;0.8556547041707081;380342952;4191008;0.2465230850410147 ;3514921
6;9;16614597;15912153;0.9577212736487078;7457076;0.44882677563590617;10785711;0.6491707863874159;2889296;2678136;0.9269164530044689;2452344;0.8487686965959874;2466456;0.8536529313715175;380270728;4205608;0.2481068458635707 ;3515486
6;10;16616238;15914618;0.9577750390912793;7450490;0.44838609076254204;10779838;0.6487532256097921;2884936;2667208;0.9245293483113664;2462104;0.8534345302634097;2464432;0.8542414805735725;380310712;4198712;0.23151467546109952;3526839
6;11;16567173;15870249;0.9579334386138179;7427072;0.4483005036526147;10750563;0.6489075112573521;2868112;2642360;0.9212889873198815;2428512;0.8467284401724898;2445776;0.8527477309114846;379204360;4179064;0.27434512481274465;3506834
6;12;16613526;15919853;0.9582464914431771;7454965;0.44872864435881943;10786411;0.6492547698784713;2883104;2668280;0.9254886400213104;2463536;0.8544735118816387;2462632;0.8541599609309966;380289448;4192160;0.2586917202117136 ;3521121
6;13;16608891;15911050;0.957983889472211;7440888;0.4480063118001075;10769319;0.6484068683453941;2879672;2666184;0.9258637789303782;2443208;0.8484327381729586;2449696;0.8506857725463177;380162776;4201032;0.2811016345155818 ;3517638
6;14;16601325;15901217;0.9578281854008641;7445949;0.4485153444077506;10776857;0.6491564378144515;2890360;2666944;0.922703054290815;2465480;0.8530010102547779;2465168;0.8528930652237091;379975624;4196088;0.2574705623849593 ;3512666
6;15;16591854;15894469;0.9579682294697145;7446080;0.44877926240189914;10770890;0.6491673564629968;2894080;2683520;0.9272445820433437;2470704;0.8537096417514374;2476736;0.8557938965059708;379769928;4213496;0.2114463773792387 ;3507148
6;16;16579617;15882649;0.957962358237829;7435848;0.4484933518066189;10760804;0.6490381532938909;2881640;2663504;0.9243014394580864;2443896;0.8480920586888022;2460736;0.8539359531377966;379491400;4193744;0.26482716372243625;3515601
6;17;16573614;15877769;0.9580148904155726;7432622;0.44846115035622286;10755186;0.6489342638244139;2884672;2669632;0.9254542630843299;2458616;0.8523034854569255;2467512;0.8553873715971868;379357864;4188112;0.2860421473220396 ;3502104
6;18;16585071;15885411;0.9578138676644797;7447967;0.4490765821864736;10778727;0.649905387803284;2885904;2671632;0.925752207973654;2452768;0.8499132334270302;2456824;0.8513186855834428;379601896;4207488;0.25259077097398336;3508451
6;19;16564254;15866054;0.9578489921731459;7437053;0.44898206704630345;10763628;0.6498106102454116;2868872;2656808;0.9260810520650625;2446984;0.8529428988117979;2450496;0.8541670733305634;379129720;4191608;0.2616643285487557 ;3508340
6;20;16569789;15870715;0.9578103257681797;7433004;0.4485877279427034;10758844;0.6493048282027007;2876832;2661656;0.9252038353299741;2454440;0.8531746031746031;2458208;0.8544843772594298;379253512;4195080;0.3264867064457797 ;3506993
