size;number;sumbits binary;sumbits huff1;cr huff1;sumbits huff2;cr huff2;sumbits huff3;cr huff3;sumbits bz2+bin;sumbits bz2+huff1;cr bz2+huff1;sumbits bz2+huff2;cr bz2+huff2;sumbits bz2+huff3;cr bz2+huff3;sumbits_qasm;sumbits_bz2_qasm;fidelity;circ_depth
2;1;47838;45740;0.9561436514904469;21243;0.4440612065721811;21320;0.4456708056356871;14816;14072;0.9497840172786177;14712;0.9929805615550756;14824;1.0005399568034556;1094808;15264;0.9839787053577519;8481
2;2;45648;43616;0.9554854539081669;20074;0.43975639677532424;20154;0.44150893796004204;14136;14696;1.039615166949632;14424;1.0203735144312394;14496;1.0254668930390491;1044488;14280;0.9965155635889738;7835
2;3;46821;45006;0.9612353431152688;20486;0.4375387112620405;20550;0.43890561927340294;14128;14720;1.0419026047565119;14136;1.0005662514156286;14168;1.0028312570781428;1072808;14632;0.9966482387212804;8054
2;4;45879;43829;0.9553172475424486;20521;0.4472852503323961;20620;0.4494431003291266;14480;15000;1.0359116022099448;14688;1.014364640883978;15088;1.0419889502762432;1049832;14688;0.9937296736373513;8086
2;5;42639;40738;0.955416402823706;19056;0.4469147963132344;19160;0.44935387790520415;13832;14384;1.0399074609600925;13792;0.9971081550028918;13856;1.001735106998265;975656;14264;0.9974315258629997;8203
2;6;47103;45215;0.9599176273273464;20418;0.4334755748041526;20489;0.4349829097934314;14344;14656;1.0217512548800893;14632;1.0200780814277748;14600;1.0178471834913552;1078920;14584;0.9956251224294975;8248
2;7;43629;41678;0.955282037177107;19613;0.44954044328313736;19684;0.4511678012331248;13952;14400;1.0321100917431192;14160;1.014908256880734;14168;1.0154816513761469;998296;14392;0.9990959592745181;7598
2;8;46467;44431;0.9561839585081886;20764;0.4468547571394753;20843;0.4485548884154346;14400;14912;1.0355555555555556;14568;1.0116666666666667;14456;1.0038888888888888;1063432;14528;0.9947343878846969;8195
2;9;46743;44574;0.9535973300815095;20790;0.44477247930171365;20902;0.44716855999828853;14824;14088;0.9503507825148408;15320;1.0334592552617377;15224;1.0269832703723691;1069144;15304;0.9937157698190381;8135
2;10;45498;43527;0.9566794144797574;20299;0.44615147918589826;20371;0.44773396632819024;13968;13224;0.9467353951890034;14584;1.0441008018327607;14680;1.0509736540664376;1041416;14536;0.9988360828241353;7983
