depth,recur,mean huff1,std huff1,mean huff2,std huff2,mean huff3,std huff3
6,1,0.9774030683908319,0.008402698925491784,0.45200777049357027,0.029613056976326733,0.6156487722579073,0.04150169342480733
6,2,0.9678794398238812,0.005471677218184722,0.44968475327503127,0.01704330086851894,0.49277254711439494,0.01931894039635855
6,3,0.9665785814446344,0.0030133087098678053,0.4480494318429414,0.010125144367033974,0.4573893514177839,0.010767535301106359
6,4,0.9652264395359027,0.0020730472469814446,0.4492731020656724,0.005380687307568115,0.4512564617768775,0.005453248650135927
5,1,0.9715106871630923,0.010988946889953884,0.5003277679480351,0.029210452646273144,0.6732236738629856,0.03522050203811914
5,2,0.9643936611821562,0.006062171441522634,0.4743005615185845,0.0204596587308824,0.5176379759525438,0.023360479303248787
5,3,0.9588547806226276,0.0034911494584347873,0.444331555685544,0.011018569088100685,0.4537611732296329,0.011425739179774916
5,4,0.9575993081512328,0.002247771865413755,0.44379934487169587,0.00655560171233922,0.4457848028613084,0.006582563562797771
4,1,0.9547333131643592,0.011602929511372916,0.5546504343323011,0.03462572998979254,0.6887321661323906,0.04290451371335344
4,2,0.9303662758036052,0.006705046790868896,0.5510452084842883,0.024169213313294545,0.5867210321056742,0.025747757222256994
4,3,0.9189272489775325,0.0045513378701433245,0.5457995838759385,0.012485115456145463,0.5527091291204357,0.012444717495679129
4,4,0.9204532918949471,0.0029675083986023627,0.5495435093313215,0.007112510379776012,0.5508609139381901,0.007010540222146945
4,5,0.9191841146934694,0.0017407981254271888,0.5535034450958289,0.00383661760498994,0.5537776392741951,0.0038347094296940325
4,6,0.9199351420992958,0.0010042626173129697,0.5547957163607122,0.0021227567122927855,0.5548838954080488,0.0021205568326761732
