depth,recur,mean huff1,std huff1,mean huff2,std huff2,mean huff3,std huff3
4,1,0.6158613936690726,0.0114011637926799,0.4386503763341517,0.027905119885993337,0.5195212686953897,0.027741908525859733
4,2,0.5954977920749128,0.006664905988156433,0.4310053495384593,0.01824387589624924,0.45143245918003105,0.018213878813902237
4,3,0.5852585780649793,0.004550065057689475,0.4195196551735577,0.008938259398032162,0.42306970718135917,0.008718969269704726
4,4,0.5870510682123075,0.0029673824630141237,0.42106479279891074,0.004643843811521823,0.4216642409852811,0.004555451916377465
4,5,0.5858362975807454,0.0017407639724689964,0.4215025370003239,0.002465197110222777,0.4216118841668446,0.002449276747857012
4,6,0.5865989025864194,0.0010042558692218032,0.4229368589808216,0.0012379158704584486,0.422978635797007,0.001242200438281557
5,1,0.6334028192598826,0.010751855481779826,0.397944072541599,0.023939488782265792,0.5066315920834326,0.024292775872913924
5,2,0.6299255692249569,0.0060636754333641555,0.3711783323144217,0.016923500749496712,0.39919383084096866,0.018470933666422426
5,3,0.6253076459643274,0.003491050327397985,0.3462582405230421,0.008967795222877226,0.3528019824764086,0.009224149243310298
5,4,0.6242227402804693,0.0022479488648733345,0.3458129433377824,0.005193275541188753,0.3472149651305208,0.005207408997386703
6,1,0.6397326900396058,0.008419116665953519,0.36070324742475046,0.02399341617694085,0.4686134198530702,0.028048200929616903
6,2,0.6335428933729108,0.0054869147993906004,0.3592118431870738,0.013753288525784464,0.3894150571046269,0.014847016163045486
6,3,0.633044206109081,0.0030138278201131746,0.3577038225663152,0.007861299560535153,0.36445597220312576,0.008271956964101186
6,4,0.6318526835434966,0.0020732159936046298,0.3583378234048047,0.004290570212371276,0.35980137475230967,0.004343890174092232

