depth,recur,mean l0,std l0,mean l1,std l1,mean l2,std l2,mean l3,std l3
4,1,364.62,35.13951621750078,224.43,20.85102155770791,159.395,13.126651324690544,189.11,17.966577303426494
4,2,1311.78,107.71973635318646,780.945,62.110321002229576,564.405,40.386643522332974,591.345,44.28956959601211
4,3,5979.33,299.21925255571375,3499.355,175.25763599626694,2507.63,120.33479588215539,2529.005,123.87197009412581
4,4,29059.86,903.6071991745087,17059.47,532.6454910163044,12234.44,349.78825937987114,12251.965,352.90237144995217
4,5,138161.07,3220.994247914765,80939.225,1879.7072602868245,58234.25,1356.5286939464274,58249.37,1356.941282112089
4,6,688321.89,9586.201076437945,403767.245,5547.67937654791,291114.34,3971.0989177304564,291143.18,3978.2364444059885
5,1,422.475,37.81718359423398,267.385,21.963305192980407,167.735,14.144425580418599,213.85,19.886616102293523
5,2,1773.945,140.97050037153164,1117.465,89.4898249802736,656.955,41.045620655558366,706.57,45.043369101344986
5,3,9371.835,400.5320433810508,5860.27,252.43295565357548,3242.955,112.21543109127192,3304.2,113.76589998765007
5,4,46288.815,1167.428516344791,28894.95,752.0742499913157,16003.385,310.440810421246,16068.26,311.10143426220327
6,1,465.87,45.87998583260462,298.055,29.80791799170147,167.58,15.623175093430913,217.805,20.355023335776355
6,2,2008.32,170.2482528544713,1272.535,110.57318289259833,720.45,55.81511891951857,780.975,59.995452952703005
6,3,9973.89,505.7394367656135,6314.0,323.399149658746,3565.345,148.60247634208523,3632.445,147.96694554865962
6,4,49513.29,1335.1408412223784,31285.54,865.8851993191707,17739.94,428.65664161424115,17812.34,429.0104129272388
